Id,Constituency,District,WininngCandidates,Party,RunnderCandidate,Party,Margin
293,Utraula,Balrampur,Ram Pratap alias Shashikant Verma,BJP,Arif Anwar Hashmi,SP,29174
294,Balrampur (SC),Balrampur,Ram Pal Verma,BJP,Neely Satyarthi,BSP,22888
295,Mehnaun,Gonda,Vinay Kumar,BJP,Arshad Ali Khan,BSP,36378
296,Gonda,Gonda,Prateek Bhushan Singh,BJP,Mo Jaleel Khan,BSP,11678
297,Katra Bazar,Gonda,Bawan Singh,BJP,Baij Nath,SP,30811
298,Colonelganj,Gonda,Ajay Pratap Singh,BJP,Yogesh Pratap Singh,SP,28405
299,Tarabganj,Gonda,Prem Narayan Pandey,BJP,Vinod Kumar,SP,38442
300,Mankapur (SC),Gonda,Rampati Shastri,BJP,Ramesh Chandra,BSP,60161
301,Gaura,Gonda,Prabhat Varma,BJP,Ram Pratap Singh,SP,29855
302,Shohratgarh,Siddharthnagar,Amar Singh Chaudhary,AD(S),Mohd Jameel,BSP,22124
303,Kapilvastu (SC),Siddharthnagar,Shyam Dhani,BJP,Vijay Kumar,SP,38154
304,Bansi,Siddharthnagar,Jai Pratap Singh,BJP,Lal Ji,SP,18942
305,Itwa,Siddharthnagar,Dr. Santish Chandra Dwivedi,BJP,Arshad Khursheed,BSP,10208
306,Doomariyaganj,Siddharthnagar,Raghvendra Pratap Singh,BJP,Saiyada Khatoon,BSP,171
307,Harraiya,Basti,Ajay Kumar Singh,BJP,Raj Kishore Singh,SP,30106
308,Kaptanganj,Basti,Chandra Prakash,BJP,Ram Prasad Chaudhary,BSP,6827
309,Rudhauli,Basti,Sanjay Pratap Jaiswal,BJP,Rajendra Prasad Chaudhary,BSP,21805
310,Basti Sadar,Basti,Dayaram Chaudhary,BJP,Mahendra Nath Yadav,SP,42594
311,Mahadewa (SC),Basti,Ravi Kumar Sonkar,BJP,Doodhram,BSP,25884
312,Menhdawal,Sant Kabir Nagar,Rakesh Singh Baghel,BJP,Anil Kumar Tripathi,BSP,42914
313,Khalilabad,Sant Kabir Nagar,Digvijay Narayan alias Jay Chauby,BJP,Mashhoor Alam Choudhary,BSP,16037
314,Dhanghata (SC),Sant Kabir Nagar,Sriram Chauhan,BJP,Agloo Prasad,SP,16909
315,Pharenda,Maharajganj,Bajrang Bahadur Singh,BJP,Virendra Chaudhary,INC,2354
316,Nautanwa,Maharajganj,Aman Mani Tripathi,IND,Kunwar Kaushal Kishore Singh,SP,32256
317,Siswa,Maharajganj,Prem Sagar Patel,BJP,Shivendra Singh,SP,68186
318,Maharajganj (SC),Maharajganj,Jai Mangal,BJP,Nirmesh Mangal,BSP,68361
319,Paniyara,Maharajganj,Gyanendra,BJP,Ganesh Shankar Pandey,BSP,67491
320,Caimpiyarganj,Gorakhpur,Fateh Bahadur,BJP,Chinta Yadav,INC,32854
321,Pipraich,Gorakhpur,Mahendra Pal Singh,BJP,Aftab Alam,BSP,12809
322,Gorakhpur Urban,Gorakhpur,Radha Mohan Das Agarwal,BJP,Rana Rahul Singh,INC,60730
323,Gorakhpur Rural,Gorakhpur,Bipin Singh,BJP,Vijay Bahadur Yadav,SP,4410
324,Sahajanwa,Gorakhpur,Sheetal Pandey,BJP,Yaspal Singh Rawat,SP,15377
325,Khajani (SC),Gorakhpur,Sant Prasad,BJP,Rajkumar,BSP,20079
326,Chauri-Chaura,Gorakhpur,Sangeeta Yadav,BJP,Manurojan Yadav,SP,45660
327,Bansgaon (SC),Gorakhpur,Vimlesh Paswan,BJP,Dharmendra Kumar,BSP,22873
328,Chillupar,Gorakhpur,Vijay Shankar Tiwari,BSP,Rajesh Tripathi,BJP,3359
329,Khadda,Kushinagar,Jatashanker Tripathi,BJP,Vijay Pratap Kushwaha,BSP,38497
330,Padrauna,Kushinagar,Swami Prasad Maurya,BJP,Javed Iqbal,BSP,40552
331,Tamkuhi Raj,Kushinagar,Ajay Kumar Lallu,INC,Jagadish Mishra,BJP,18114
332,Fazilnagar,Kushinagar,Ganga,BJP,Vishwnath,SP,41922
333,Kushinagar,Kushinagar,Rajnikant Mani Tripathi,BJP,Rajesh Pratap Rav,BSP,48103
334,Hata,Kushinagar,Pawan Kumar,BJP,Radheshyam Singh,SP,53076
335,Ramkola (SC),Kushinagar,Ramanand Baudh,SBSP,Purnmasi Dehati,SP,55729
336,Rudrapur,Deoria,Jai Prakash Nishad,BJP,Akhilesh Pratap Singh,INC,26789
337,Deoria,Deoria,Janmejai Singh,BJP,J.P. Jaiswal,SP,46236
338,Pathardeva,Deoria,Surya Pratap Shahi,BJP,Shakir Ali,SP,42997
339,Rampur Karkhana,Deoria,Kamlesh Shukla,BJP,Fasiha Manzer Ghazala Lari,SP,9987
340,Bhatpar Rani,Deoria,Ashutosh,SP,Jayanth Kushwaha,BJP,11097
341,Salempur (SC),Deoria,Kali Prasad,BJP,Vijay Laxmi Gautam,SP,25654
342,Barhaj,Deoria,Suresh Tiwari,BJP,Murli Manohar Jaiswal,SP,11716
343,Atrauliya,Azamgarh,Dr. Sangram Yadav,SP,Kanhaiya Lal Nishad,BJP,2467
344,Gopalpur,Azamgarh,Nafees Ahmad,SP,Shrikrishna Pal,BJP,14960
345,Sagri,Azamgarh,Bandana Singh,BSP,Jairam Patel,SP,5475
346,Mubarakpur,Azamgarh,Shah Alam,BSP,Akhilesh Yadav,SP,688
347,Azamgarh,Azamgarh,Durga Prasad Yadav,SP,Akhilesh,BJP,26262
348,Nizamabad,Azamgarh,Alambadi,SP,Chandra Dev Ram,BSP,18529
349,Phoolpur Pawai,Azamgarh,Arun Kumar Yadav,BJP,Abul Qais Azmi,BSP,7295
350,Didarganj,Azamgarh,Sukhdev Rajbhar,BSP,Adil Sheikh,SP,3645
351,Lalganj (SC),Azamgarh,Azad Ari Mardan,BSP,Daroga Prasad Saroj,BJP,2227
352,Mehnagar (SC),Azamgarh,Kalpnath Paswan,SP,Manjoo Saroj,SBSP,5412
353,Madhuban,Mau,Dara Singh Chauhan,BJP,Amresh Chand,INC,29415
354,Ghosi,Mau,Fagu Chauhan,BJP,Abbas Ansari,BSP,7003
355,Muhammadabad- Gohna (SC),Mau,Shriram,BJP,Rajendra,BSP,538
356,Mau,Mau,Mukhtar Ansari,BSP,Altaf Ansari,SP,24777
357,Belthara Road (SC),Ballia,Dhananjay Kannoujia,BJP,Gorakh Paswan,SP,18319
358,Rasara,Ballia,Uma Shanaker Singh,BSP,Ram Iqball Singh,BJP,33887
359,Sikanderpur,Ballia,Sanjay Yadav,BJP,Ziauddin Rizwi,SP,23548
360,Phephana,Ballia,Upendra Tiwari,BJP,Ambika Choudhary,BSP,17897
361,Ballia Nagar,Ballia,Anand,BJP,Laxman,SP,40011
362,Bansdih,Ballia,Ram Govind Chaudhary,SP,Ketakee Singh,IND,1687
363,Bairia,Ballia,Surendra,BJP,Jai Prakash Anchal,SP,17077
364,Badlapur,Jaunpur,Ramesh Chandra Mishra,BJP,Lalji Yadav,BSP,2372
365,Shahganj,Jaunpur,Shailendra Yadav Lalai,SP,Rana Ajeet Pratap Singh,SBSP,9162
366,Jaunpur,Jaunpur,Girish Chandra Yadav,BJP,Nadeem Javed,INC,12284
367,Malhani,Jaunpur,Parasnath Yadava,SP,Dhananjay Singh,NISHAD,21210
368,Mungra Badshahpur,Jaunpur,Sushma Patel,BSP,Seema Dwivedi,BJP,5920
369,Machhlishahr (SC),Jaunpur,Jagdish Sonkar,SP,Anita Rawat,BJP,4179
370,Mariyahu,Jaunpur,Leena Tiwari,AD(S),Shraddha Yadav,SP,11350
371,Zafrabad,Jaunpur,Dr Harendra Prasad Singh,BJP,Sachindra Nath Tripathi,SP,24865
372,Kerakat (SC),Jaunpur,Dinesh Choudahry,BJP,Sajai Kumar Saroj,SP,15259
373,Jakhanian (SC),Ghazipur,Triveni Ram,SBSP,Gareeb,SP,5157
374,Saidpur (SC),Ghazipur,Subhash Passi,SP,Vidyasagar Sonkar,BJP,8710
375,Ghazipur,Ghazipur,Sangeeta,BJP,Rajesh Kuswaha,SP,32607
376,Jangipur,Ghazipur,Virendra Kumar Yadav,SP,Ramesh Narayan Kushwaha,BJP,3239
377,Zahoorabad,Ghazipur,Om Prakash Rajbhar,SBSP,Kalicharan,BSP,18081
378,Mohammadabad,Ghazipur,Alka Rai,BJP,Sibgatulla Ansari,BSP,32727
379,Zamania,Ghazipur,Sunita,BJP,Atul Kumar,BSP,9264
380,Mughalsarai,Chandauli,Sadhana Singh,BJP,Babulal,SP,13243
381,Sakaldiha,Chandauli,Prabhu Narayan Yadav,SP,Suryamuni Tiwari,BJP,14969
382,Saiyadraja,Chandauli,Sushil Singh,BJP,Shyam Narayan Singh,BSP,14494
383,Chakia (SC),Chandauli,Sharada Prasad,BJP,Jitendra Kumar,BSP,20063
384,Pindra,Varanasi,Avadhesh Singh,BJP,Babulal,BSP,36849
385,Ajagara (SC),Varanasi,Kailash Nath Sonkar,SBSP,Lalji Sonkar,SP,21349
386,Shivpur,Varanasi,Anil Rajbhar,BJP,Anand Mohan Yadav,SP,54259
387,Rohaniya,Varanasi,Surendra Narayan Singh,BJP,Mahendra Singh Patel,SP,57553
388,Varanasi North,Varanasi,Ravindra Jaiswal,BJP,Abdul Samad Ansari,INC,45502
389,Varanasi South,Varanasi,Dr. Neelkanth Tiwari,BJP,Rajesh Mishra,INC,17226
390,Varanasi Cantt.,Varanasi,Saurabh Srivastava,BJP,Anil Srivastava,INC,61326
391,Sevapuri,Varanasi,Neel Ratan Singh Patel Neelu,AD(S),Surendra Singh Patel,SP,49182
392,Bhadohi,Bhadohi,Ravindra Nath Tripathi,BJP,Zahid Beg,SP,1105
393,Gyanpur,Bhadohi,Vijay Mishra,NISHAD,Mahendra Kumaer Bind,BJP,20230
394,Aurai (SC),Bhadohi,Dinanath Bhaskar,BJP,Madhubala,SP,19779
395,Chhanbey (SC),Mirzapur,Rahul Prakash,AD(S),Dhaneswar,BSP,63468
396,Mirzapur,Mirzapur,Ratnakar Mishra,BJP,Kailash Chaurasiya,SP,57412
397,Majhawan,Mirzapur,Suchismita Maurya,BJP,Ramesh Chand Bind,BSP,41159
398,Chunar,Mirzapur,Anurag Singh,BJP,Jagtamba Singh Patel,SP,62228
399,Marihan,Mirzapur,Rama Shankar Singh,BJP,Lalitesh Pati Tripathi,INC,46598
400,Ghorawal,Sonbhadra,Anil Kumar Maurya,BJP,Ramesh Chandra,SP,57649
401,Robertsganj,Sonbhadra,Bhupesh Chaubey,BJP,Avinash Kushvaha,SP,40538
402,Obra,Sonbhadra,Sanjiv Kumar,BJP,Ravi Gond,SP,44269
403,Duddhi (SC),Sonbhadra,Hariram,AD(S),Vijay Singh Gond,BSP,1085
